b''
b'["time", "open", "high", "low", "close", "volume"]'
b'["2021-11-05 19:30:00", "123.65", "123.65", "123.27", "123.27", "270"]'
b'["2021-11-05 19:15:00", "123.65", "123.65", "123.65", "123.65", "400"]'
b'["2021-11-05 19:00:00", "123.4", "123.4", "123.4", "123.4", "220"]'
b'["2021-11-05 18:30:00", "123.27", "123.29", "123.27", "123.27", "2256"]'
b'["2021-11-05 18:15:00", "123.45", "123.45", "123.45", "123.45", "449"]'
b'["2021-11-05 17:45:00", "123.55", "123.55", "123.5", "123.5", "1206"]'
b'["2021-11-05 17:30:00", "123.55", "123.55", "123.55", "123.55", "372"]'
b'["2021-11-05 17:15:00", "123.65", "123.65", "123.61", "123.61", "48328"]'
b'["2021-11-05 17:00:00", "123.58", "123.65", "123.58", "123.65", "1302"]'
b'["2021-11-05 16:45:00", "123.43", "123.55", "123.41", "123.55", "535"]'
b'["2021-11-05 16:30:00", "123.62", "123.74", "123.48", "123.48", "4860"]'
b'["2021-11-05 16:15:00", "123.61", "123.83", "123.57", "123.61", "89916"]'
b'["2021-11-05 16:00:00", "123.3778", "123.64", "123.33", "123.56", "526343"]'
b'["2021-11-05 15:45:00", "123.14", "123.69", "123.0775", "123.37", "298582"]'
b'["2021-11-05 15:30:00", "123.33", "123.38", "123.11", "123.125", "205784"]'
b'["2021-11-05 15:15:00", "123.4", "123.45", "123.24", "123.33", "200442"]'
b'["2021-11-05 15:00:00", "123.09", "123.44", "123.05", "123.3999", "175934"]'
b'["2021-11-05 14:45:00", "123.245", "123.36", "123.02", "123.03", "145392"]'
b'["2021-11-05 14:30:00", "122.78", "123.26", "122.78", "123.245", "155548"]'
b'["2021-11-05 14:15:00", "122.51", "122.825", "122.4", "122.8", "121630"]'
b'["2021-11-05 14:00:00", "122.21", "122.52", "122.19", "122.51", "96560"]'
b'["2021-11-05 13:45:00", "122.185", "122.43", "122.18", "122.225", "113718"]'
b'["2021-11-05 13:30:00", "122.48", "122.54", "122.19", "122.19", "120635"]'
b'["2021-11-05 13:15:00", "122.5117", "122.6883", "122.44", "122.48", "85119"]'
b'["2021-11-05 13:00:00", "122.46", "122.56", "122.31", "122.52", "142699"]'
